image_url_1,category,style,colors,gender,pattern,occasion,accessory_type,more_attributes,bag_type,belt_type,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_width,heels_height,boots-shoe_type,shoe_material,bracelet_type,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,glasses_type,headwear_type,jumpsuit_length,necklet_type,neckwear_type,overclothes-sleeveless_type,poncho_type,sandals-shoe_type,shorts_type,slippers-shoe_type,sneakers_type,sportswear_type,sweatshirt_type,swimwear_type,tank_type,bottoms_type,barcode,brand
https://fotos.skm.be/article/483477/483477_01_90014-01-0046_01.jpg,blouse,casual,gray; multicolor; white,male,horizontal-stripes,casual,,,,,cotton,oversized-tops,straight-sleeve,thigh-length,,,,boat-neck,short-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48347701050101,Xandres Gold
https://fotos.skm.be/article/509827/509827_01_1905543-210-MF.jpg,trousers_and_chinos,casual,,female,plain,casual,,,,,,,,,,,,,,,,,,,,,high-waist,full-length,,,straight-fit-bottoms,,,,,,,,,,,,,,,,classic-trousers,50982701410101,Yoek
https://fotos.skm.be/article/485225/485225_01_6398_06906001_1.jpg,t-shirt,casual,black,female,text-print,casual,,,,,,regular-fit-tops,,cropped,,,,round-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48522501030101,King Louie
https://fotos.skm.be/article/488088/488088_02_63106ca7a9139c00129bee4a.jpg,jeans,casual,navy,female,bleached,casual,,ripped,,,,,,,,,,,,,,,,,,,mid-waist,3-4-long,,,slim-bottoms,,,,,,,,,,,,,,,,,48808802050101,Rabe
https://fotos.skm.be/article/479659/479659_01_61eda7f090cff100106c481f.jpg,blouse,casual,yellow,female,plain,dating; semi-formal,,keyhole,,,,regular-fit-tops,,short,,,,cutaway,sleeveless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47965901030101,Joseph Ribkoff
https://fotos.skm.be/article/491264/491264_01_6299f942d8a6920011cb1b79.jpg,jumpsuit,feminine,lavander; multicolor; purple,female,paisley,casual; dating,,,,,,oversized-tops,puff-sleeve,,,,,round-neck,3-4-sleeve,,,,,,,,,,,,wide-bottoms,,,full-length,,,,,,,,,,,,,,49126401030101,Nümph
https://fotos.skm.be/article/501967/501967_03_63a4c14ae9ffc30011308a35.jpg,trousers_and_chinos,casual,green,female,plain,casual; nightout; semi-formal,,,,,,,,,,,,,,,,,,,,,mid-waist,full-length,,,straight-fit-bottoms,,,,,,,,,,,,,,,,classic-trousers,50196703050101,Bianca
https://fotos.skm.be/article/489351/489351_01_626a68bfba737d00110335d2.jpg,sweater,casual,bordeaux; multicolor; purple,female,horizontal-stripes,home-lounge; winter,,,,,,regular-fit-tops,straight-sleeve,short,,,,crew-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48935101020101,Nümph
https://fotos.skm.be/article/492290/492290_01_61ddc714a45e8f0017e9c595.jpg,sweatshirt,casual,beige; ecru,female,animals; shapes,casual,,embroidered,,,cotton,oversized-tops,puff-sleeve,short,,,,crew-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49229001030101,Fabienne Chapot
https://fotos.skm.be/article/493499/493499_02_rl22w-c5000_f-002b_ow_f.jpg,tops,casual,white,female,animals; shapes; text-print,casual,,,,,cotton,regular-fit-tops,straight-sleeve,short,,,,crew-neck,long-sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49349902030101,River Woods
